pos,word
빳빳/XR,빳빳하다
뼈아프/VA,뼈아프다
뼈아파/VA,뼈아프다
뼈아팠/VA,뼈아프다
뼈아픈/VA,뼈아프다
뼈아플/VA,뼈아프다
뼈/NNG+아프/VA,뼈아프다
뼈/NNG+아파/VA+EC,뼈아프다
뼈/NNG+아팠/VA+EP,뼈아프다
뼈/NNG+아픈/VA+ETM,뼈아프다
뼈/NNG+아플/VA+ETM,뼈아프다
뼈아픔/NNG,뼈아프다
뼈/NNG+아픔/NNG,뼈아프다
뼈/NNG+아픔/VA+ETN,뼈아프다
가렵/VA,가렵다
가려/VA,가렵다
가려움/NNG,가렵다
간지럽/VA,간지럽다
간지러/VA,간지럽다
간지럼/NNG,간지럽다
고단/XR,고단하다
고단/NNG,고단하다
아프/VA,아프다
아파/VA,아프다
아플/VA,아프다
아팠/VA,아프다
아픈/VA,아프다
아픔/NNG,아프다
고통/NNG+스럽/XSA,고통스럽다
고통/NNG+스러/XSA,고통스럽다
고통스럽/VA,고통스럽다
고통스러/VA,고통스럽다
고통스러움/NNG,고통스럽다
어지/VA,어지럽다
어지럼/NNG,어지럽다
어지러움/NNG,어지럽다
기진맥진/NNG,기진맥진하다
답답/XR,답답하다
답답함/NNG,답답하다
둔탁/XR,둔탁하다
둔탁함/NNG,둔탁하다
딱딱/XR,딱딱하다
딱딱/MAG,딱딱하다
지끈/MAG,지끈거리다
지끈/XR,지끈거리다
지끈/VV,지끈거리다
무겁/VA,무겁다
무거/VA,무겁다
무거움/NNG,무겁다
찢어지/VV,찢어지다
찢어져/VV,찢어지다
찢어질/VV,찢어지다
찢어졌/VV,찢어지다
찢어짐/NNG,찢어지다
침울/XR,침울하다
침울/NNG,침울하다
침통/NNG,침통하다
불쌍/XR,불쌍하다
탄복/NNG,탄복하다
탄식/NNG,탄식하다
통탄/NNG,통탄하다
통탄/VV,통탄하다
포기/NNG,포기하다
불행/NNG,불행하다
한숨/NNG,한숨짓다
한/NNG+스럽/XSA,한스럽다
한스럽/VA,한스럽다
한스러/VA,한스럽다
한스러움/NNG,한스럽다
비루/NNG,비루하다
비루/XR,비루하다
비루/VA,비루하다
한탄/NNG,한탄하다
허무/NNG,허무하다
비참/NNG,비참하다
비탄/NNG,비탄하다
허전/XR,허전하다
허전/NNG,허전하다
비통/NNG,비통하다
허탈/NNG,허탈하다
뼈저/VA,뼈저리다
뼈져/VA,뼈저리다
뼈저림/NNG,뼈저리다
뼈져림/NNG,뼈저리다
후회/NNG,후회하다
휑하/VA,휑하다
휑했/VA,휑하다
휑할/VA,휑하다
휑한/VA,휑하다
휑함/NNG,휑하다
사무치/VV,사무치다
사무쳐/VV,사무치다
사무칠/VV,사무치다
사무쳤/VV,사무치다
사무친/VV,사무치다
사무침/NNG,사무치다
힘들/VA,힘들다
힘든/VA,힘들다
힘듦/NNG,힘들다
힘듬/NNG,힘들다
상실/NNG,상실감
서럽/VA,서럽다
서러/VA,서럽다
서러움/NNG,서럽다
서운/XR,서운하다
서운/NNG,서운하다
섭섭/XR,섭섭하다
섭섭/NNG,섭섭하다
속상/NNG,속상하다
속상/VA,속상하다
속/NNG+썩이/VV,속썩이다
속/NNG+썩였/VV,속썩이다
속/NNG+썩인/VV,속썩이다
속/NNG+썩일/VV,속썩이다
속앓이/NNG,속앓이
속/NNG+앓이/NNG,속앓이
송구/XR,송구하다
송구/NNG,송구하다
가련/XR,가련하다
가련/NNG,가련하다
숙연/NNG,숙연하다
숙연/XR,숙연하다
슬퍼하/VV,슬퍼하다
슬퍼했/VV,슬퍼하다
슬퍼할/VV,슬퍼하다
슬퍼한/VV,슬퍼하다
슬퍼함/NNG,슬퍼하다
슬프/VA,슬프다
슬퍼/VA,슬프다
슬펐/VA,슬프다
슬플/VA,슬프다
슬픈/VA,슬프다
슬픔/NNG,슬프다
가슴/NNG+아프/VA,가슴아프다
가슴/NNG+아파/VA+EC,가슴아프다
가슴/NNG+아팠/VA+EP,가슴아프다
가슴/NNG+아플/VA+ETM,가슴아프다
가슴/NNG+아픈/VA+ETM,가슴아프다
가슴/NNG+아픔/NNG,가슴아프다
가슴앓이/NNG,가슴앓이
가슴앓이/VA,가슴앓이
가슴/NNG+앓/VV,가슴앓이
가슴/NNG+앓/VA,가슴앓이
가슴/NNG+앓/NNG,가슴앓이
가엽/VA,가엽다
가여/VA,가엽다
가여움/NNG,가엽다
가엾/VA,가엽다
가혹/NNG,가혹하다
가혹/XR,가혹하다
각박/XR,각박하다
각박/NNG,각박하다
간절/XR,간절하다
간절/NNG,간절하다
심란/XR,심란하다
심려/NNG,심려하다
싱숭생숭/MAG,싱숭생숭하다
싱숭생숭/NNG,싱숭생숭하다
쓴웃음/NNG,쓴웃음
쓴/VA+ETM+웃음/NNG,쓴웃음
쓸쓸/XR,쓸쓸하다
쓸쓸/MAG,쓸쓸하다
쓸쓸/NNG,쓸쓸하다
씁쓸/XR,씁쓸하다
씁쓸/NNG,씁쓸하다
아련/XR,아련하다
아련함/NNG,아련하다
아쉽/VA,아쉽다
아쉬/VA,아쉽다
아쉬움/NNG,아쉽다
고달프/VA,고달프다
고달파/VA,고달프다
고달플/VA,고달프다
고달팠/VA,고달프다
고달픈/VA,고달프다
고달픔/NNG,고달프다
고독/NNG,고독하다
안쓰럽/VA,안쓰럽다
안쓰러/VA,안쓰럽다
안쓰러움/NNG,안쓰럽다
안타까/VA,안타깝다
안타까움/NNG,안타깝다
곤욕/NNG,곤욕스럽다
암울/NNG,암울하다
애끓/VV,애끓다
애끓/VA,애끓다
애끓음/NNG,애끓다
애달프/VA,애달프다
애달파/VA,애달프다
애달팠/VA,애달프다
애달픈/VA,애달프다
애달플/VA,애달프다
애달픔/NNG,애달프다
애도/NNG,애도하다
애/NNG+도/JX,애도하다
공허/XR,공허하다
공허/NNG,공허하다
애석/NNG,애석하다
애잔/XR,애잔하다
애잔/NNG,애잔하다
애처롭/VA,애처롭다
애처로/VA,애처롭다
애처로움/NNG,애처롭다
괴롭/VA,괴롭다
괴로/VA,괴롭다
괴로움/NNG,괴롭다
애통/NNG,애통하다
애틋/XR,애틋하다
애틋/NNG,애틋하다
야속/NNG,야속하다
구슬프/VA,구슬프다
구슬퍼/VA,구슬프다
구슬펐/VA,구슬프다
구슬플/VA,구슬프다
구슬픈/VA,구슬프다
구슬픔/NNG,구슬프다
그리워/VA,그리워하다
그리운/VA,그리워하다
그리웠/VA,그리워하다
그리울/VA,그리워하다
그리움/NNG,그리워하다
근심/NNG,근심스럽다
글썽/MAG,글썽글썽하다
억울/XR,억울하다
억울/NNG,억울하다
기구/XR,기구하다
기구하/VV,기구하다
기구할/VV,기구하다
기구한/VV,기구하다
기구했/VV,기구하다
기구하/VA,기구하다
기구할/VA,기구하다
기구한/VA,기구하다
기구했/VA,기구하다
기구함/NNG,기구하다
기운/NNG+없/VA,기운없다
기운없/VA,기운없다
기운없음/NNG,기운없다
외롭/VA,외롭다
외로/VA,외롭다
외로움/NNG,외롭다
외톨이/NNG,외톨이
우울/NNG,우울하다
우중충/XR,우중충하다
우중충/MAG,우중충하다
울/VV,울다
울음/NNG,울다
움/NNG,울다
울먹이/VV,울먹이다
울먹였/VV,울먹이다
울먹일/VV,울먹이다
울먹인/VV,울먹이다
울먹임/NNG,울먹이다
울며불며/MAG,울며불며
낙담/NNG,낙담하다
울부짖/VV,울부짖다
울부짖음/NNG,울부짖다
낙망/NNG,낙망하다
울분/NNG,울분
낙심/NNG,낙심하다
울상/NNG,울상
울적/XR,울적하다
울적/NNG,울적하다
울컥/MAG,울컥하다
울컥/NNG,울컥하다
원통/NNG,원통하다
냉혹/XR,냉혹하다
냉혹/NNG,냉혹하다
너덜/XR,너덜너덜하다
너덜/NNG,너덜너덜하다
너덜너덜/MAG,너덜너덜하다
유감/NNG,유감스럽다
음울/XR,음울하다
음울/NNG,음울하다
눈물겹/VA,눈물겹다
눈물겨/VA,눈물겹다
눈물겨움/NNG,눈물겹다
자책/NNG,자책하다
자포자기/NNG,자포자기하다
적적/XR,적적하다
적적/NNG,적적하다
절규/NNG,절규하다
절망/NNG,절망하다
절박/XR,절박하다
절박/NNG,절박하다
절실/XR,절실하다
절실/NNG,절실하다
뚱하/VA,뚱하다
뚱했/VA,뚱하다
뚱할/VA,뚱하다
뚱한/VA,뚱하다
뚱/NNG,뚱하다
뚱/XR,뚱하다
절절매/VV,절절매다
절절맨/VV,절절매다
절절맸/VV,절절매다
절절맬/VV,절절매다
절절맴/NNG,절절매다
절절/VA,절절하다
절절/XR,절절하다
절절/NNG,절절하다
망연자실/NNG,망연자실하다
망연/XR,망연하다
망하/VA,망하다
망했/VA,망하다
망할/VA,망하다
망한/VA,망하다
망/XR,망하다
망함/NNG,망하다
좌절/NNG,좌절되다
맥빠지/VV,맥빠지다
맥빠짐/NNG,맥빠지다
맥/NNG+빠졌/VV+EP,맥빠지다
맥/NNG+빠질/VV+ETM,맥빠지다
맥/NNG+빠진/VV+ETM,맥빠지다
맥/NNG+빠짐/VV+ETN,맥빠지다
맥/NNG+빠짐/NNG,맥빠지다
죄송/XR,죄송하다
죄송/NNG,죄송하다
먹먹/XR,먹먹하다
먹먹/NNG,먹먹하다
죄책감/NNG,죄책감
뭉클/XR,뭉클하다
뭉클/MAG,뭉클하다
뭉클/NNG,뭉클하다
짠하/VA,짠하다
짠해/VA,짠하다
짠할/VA,짠하다
짠했/VA,짠하다
짠한/VA,짠하다
짠함/NNG,짠하다
착잡/XR,착잡하다
착잡/NNG,착잡하다
참담/XR,참담하다
참담/NNG,참담하다
참혹/XR,참혹하다
참혹/NNG,참혹하다
참회/NNG,참회하다
처량/XR,처량하다
처량/NNG,처량하다
처절/NNG,처절하다
처참/XR,처참하다
처참/NNG,처참하다
청승맞/VA,청승맞다
청승/NNG+맞/VA,청승맞다
청승/NNG+맞/VV,청승맞다
초라/XR,초라하다
초라/NNG,초라하다
북받치/VV,북받치다
북받/VV,북받치다
북받침/NNG,북받치다
측은/NNG,측은하다
분통/NNG,분통터지다
치사/XR,치사하다
치사/NNG,치사하다
분하/VA,분하다
분한/VA,분하다
분했/VA,분하다
분할/VA,분하다
분함/NNG,분하다
치욕/NNG,치욕적
불만/NNG,불만스럽다
불친절/NNG,불친절
불/XPN+친절/NNG,불친절
파괴/NNG,파괴
불쾌/XR,불쾌
불쾌/NNG,불쾌
한심/XR,한심하다
한심/NNG,한심하다
빌어먹/VV,빌어먹을
빌어먹/NNG,빌어먹을
빡치/VV,빡치다
빡/NNG+치/VV,빡치다
빡치/NNG,빡치다
빡침/NNG,빡치다
개빡/NNG,빡치다
개/NNG+빡/MAG,빡치다
개/NNB+빡/MAG,빡치다
빡/MAG+쳤/VV+EP,빡치다
빡/MAG+치/VV,빡치다
빡/MAG+친/VV+ETM,빡치다
빡/MAG+치/VV+는/ETM,빡치다
빡/MAG+칠/VV+ETM,빡치다
화나/VV,화나다
화남/NNG,화나다
화났/VV,화나다
,화나다
뾰루퉁/XR,뾰루퉁하다
뾰루퉁/NNG,뾰루퉁하다
삐치/VV,삐치다
삐쳤/VV,삐치다
삐칠/VV,삐치다
삐친/VV,삐치다
삐지/VV,삐치다
삐졌/VV,삐치다
삐질/VV,삐치다
삐진/VV,삐치다
삐침/NNG,삐치다
삐짐/NNG,삐치다
흥분/NNG,흥분하다
가당찮/VA,가당찮다
가당찮/NNG,가당찮다
시부렁/VV,시부렁거리다
시부렁/XR,시부렁거리다
시부렁/NNG,시부렁거리다
가증/XR,가증스럽다
가증/NNG,가증스럽다
신경질/NNG,신경질적
신경질/NNG+적/XSN,신경질적
신경질적/NNG,신경질적
갈기갈기/MAG,갈기갈기
실망/NNG,실망이다
개떡/NNG+같/VA,개떡같다
개새끼/NNG,개새끼
개/NNG+썅/MAG+년/NNG,개썅년
썅/MAG+년/NNG,개썅년
개썅년/NNG,개썅년
썅년/NNG,개썅년
심술궂/VA,심술궂다
심술궂/NNG,심술궂다
개자식/NNG,개자식
심통/NNG,심통
싸가지/NNG,싸가지
쌍년/NNG,쌍년
거지/NNG,거지같다
쌍놈/NNG,쌍놈
격노/NNG,격노하다
씨부랄/IC,씨부랄
격분/NNG,격분하다
씨부렁/VV,씨부렁거리다
씨부렁/XR,씨부렁거리다
씨부렁/NNG,씨부렁거리다
격앙/NNG,격앙되다
씩씩거리/VV,씩씩거리다
씩씩거렸/VV,씩씩거리다
씩씩거릴/VV,씩씩거리다
씩씩거린/VV,씩씩거리다
씩씩거림/NNG,씩씩거리다
격양/NNG,격양되다
씹새끼/NNG,씹새끼
씹/NNG+새끼/NNG,씹새끼
격해/VA,격해지다
격하/VA,격해지다
격함/NNG,격해지다
괘씸/XR,괘씸하다
괘씸/NNG,괘씸하다
야박/NNG,야박하다
약오르/VV,약오르다
약올라/VV,약오르다
약오른/VV,약오르다
약올랐/VV,약오르다
약오를/VV,약오르다
약/NNG+오르/VV,약오르다
약/NNG+올라/VV,약오르다
약/NNG+오른/VV,약오르다
약/NNG+올랐/VV,약오르다
약/NNG+오를/VV,약오르다
약오름/NNG,약오르다
약/NNG+오름/NNG,약오르다
얄밉/VA,얄밉다
얄미/VA,얄밉다
얄미움/NNG,얄밉다
그년/NP,그년
그놈/NP,그놈
그/MM+자식/NNG,그자식
어이없/VA,어이없다
어이없/NNG,어이없다
어처구니/NNG,어처구니
언짢/VA,언짢다
언짠/VA,언짢다
언짢음/NNG,언짢다
언짠음/NNG,언짢다
기분/NNG+나쁘/VA,기분나쁘다
기분/NNG+나빠/VA,기분나쁘다
기분/NNG+나빴/VA,기분나쁘다
기분/NNG+나쁨/NNG,기분나쁘다
기분/NNG+나쁠/VA,기분나쁘다
기분/NNG+나쁜/VA,기분나쁘다
옘병/NNG,옘병할
옘병/IC,옘병할
기집/NNG+년/NNB,기집년
기집/NNG,기집년
우라질/VV+ETM,우라질
우라질/NNG,우라질
우라질/IC,우라질
울화통/NNG,울화통
웃음거리/NNG,웃음거리
원망/NNG,원망하다
냉정/NNG,냉정하다
냉정/XR,냉정하다
웬수/NNP,웬수
웬수/NNG,웬수
네년/NP,네년
네놈/NP,네놈
으이구/IC,으이구
노여워하/VV,노여워하다
노엽/VA,노여워하다
노여/VA,노여워하다
노여워했/VV,노여워하다
노여워한/VV,노여워하다
노여워할/VV,노여워하다
노여움/NNG,노여워하다
이/MM+새끼/NNG,이새끼
ㅈ/NNG+같/VA,ㅈ같다
니미/IC,니미
니미/NNG,니미
네미/NNG,니미
네미/IC,니미
잡놈/NNG,잡놈
저년/NP,저년
저놈/NP,저놈
제/NP+JKG+기랄/NNG,제기랄
제기랄/IC,제기랄
제기랄/NNG,제기랄
멸시/NNG,멸시당하다
모멸감/NNG,모멸감
모욕/NNG,모욕적
모욕/NNG+적/XSN,모욕적
모욕적/NNG,모욕적
증오/NNG,증오하다
지랄/NNG,지랄하다
진노/NNG,진노하다
무시/NNG,무시당하다
질투/NNG,질투하다
짜증/NNG,짜증
미친개/NNG,미친개
미친/VV+ETM+개/NNG,미친개
밉/VA,밉다
미/VA,밉다
미움/NNG,밉다
발칙/XR,발칙하다
발칙/NNG,발칙하다
버럭/NNG,버럭
버럭/MAG,버럭
복수심/NNG,복수심
분개/NNG,분개하다
치떨리/VV,치떨리다
치떨린/VV,치떨리다
치떨렸/VV,치떨리다
치떨릴/VV,치떨리다
치/NNG+떨리/VV,치떨리다
치/NNG+떨린/VV,치떨리다
치/NNG+떨렸/VV,치떨리다
치/NNG+떨릴/VV,치떨리다
치떨림/NNG,치떨리다
치/NNG+떨림/NNG,치떨리다
분노/NNG,분노하다
치밀/VV+어/EC+오르/VV,치밀어오르다
치밀/VV+어/EC+올라/VV,치밀어오르다
치밀/VV+어/EC+오른/VV,치밀어오르다
치밀/VV+어/EC+오를/VV,치밀어오르다
치밀/VV+어/EC+올랐/VV,치밀어오르다
치밀/VV+어/EC+오름/NNG,치밀어오르다
불안/NNG,불안
불/XPN+안정/NNG,불안정
불안정/NNG,불안정
살벌/XR,살벌하다
살벌/NNG,살벌하다
새파래지/VV,새파래지다
새파랗/VV,새파래지다
새파라/VV,새파래지다
새파래진/VV,새파래지다
새파래졌/VV,새파래지다
새파래질/VV,새파래지다
새파란/VV,새파래지다
새파래짐/NNG,새파래지다
섬뜩/MAG,섬뜩하다
섬뜩/NNG,섬뜩하다
소름/NNG,소름끼치다
소심/XR,소심하다
소심/NNG,소심하다
스산/XR,스산하다
스산/NNG,스산하다
심오/XR,심오하다
걱정/NNG,걱정하다
겁/NNG,겁나다
겁나/VV,겁나다
겁날/VV,겁나다
겁났/VV,겁나다
겁내/VV,겁나다
겁난/VV,겁나다
겁쟁이/NNG,겁쟁이
아슬/MAG,아슬아슬하다
아슬/NNG,아슬아슬하다
아찔/XR,아찔하다
아찔/MAG,아찔하다
아찔/NNG,아찔하다
안절부절/MAG,안절부절
안절부절/NNG,안절부절
암담/XR,암담하다
암담/NNG,암담하다
공포감/NNG,공포감
공포/NNG,공포스럽다
공포/NNG+스럽/XSA,공포스럽다
공포/NNG+스러/XSV,공포스럽다
공포스럽/VA,공포스럽다
공포스러/VA,공포스럽다
급박/NNG,급박하다
염려/NNG,염려하다
염려/XR,염려하다
오싹/MAG,오싹하다
오싹/NNG,오싹하다
긴박/NNG,긴박하다
긴장/NNG,긴장되다
날카/VA,날카롭다
날카로움/NNG,날카롭다
위축/NNG,위축되다
으스스/MAG,으스스하다
으스스/NNG,으스스하다
노심초사/NNG,노심초사하다
을씨년/XR,을씨년스럽다
을씨년/VA,을씨년스럽다
을씨년/NNG,을씨년스럽다
을시년/XR,을씨년스럽다
을시년/VA,을씨년스럽다
을시년/NNG,을씨년스럽다
노파심/NNG,노파심
잔인/NNG,잔인하다
잔혹/NNG,잔혹하다
두렵/VA,두렵다
두려/VA,두렵다
두려움/NNG,두렵다
뒤숭숭/XR,뒤숭숭하다
뒤숭숭/MAG,뒤숭숭하다
뒤숭숭/VA,뒤숭숭하다
뒤숭숭/NNG,뒤숭숭하다
전전긍긍/NNG,전전긍긍하다
